,Quarter,Time,Tm,Detail,CIN,SEA
0,1.0,,Seahawks,Steve Smith 5 yard pass from Rick Mirer (Todd Peterson kick),0,7
1,1.0,5:59,Bengals,Darnay Scott 88 yard pass from Jeff Blake (Doug Pelfrey kick),7,7
2,2.0,5:59,Seahawks,Robb Thomas 50 yard pass from Rick Mirer (Todd Peterson kick),7,14
3,2.0,5:59,Seahawks,Todd Peterson 38 yard field goal,7,17
4,4.0,5:59,Bengals,Roger Jones 17 yard interception return (Doug Pelfrey kick),14,17
5,4.0,5:59,Seahawks,Chris Warren 11 yard rush (Todd Peterson kick),14,24
6,4.0,5:59,Bengals,Carl Pickens 22 yard pass from Jeff Blake (Doug Pelfrey kick),21,24
