,Quarter,Tm,Detail,WAS,PIT
0,2.0,Redskins,A.D. Whitfield 2 yard rush (Bruce Alford kick),7,0
1,2.0,Redskins,"Safety, Breding blocked punt in end zone",9,0
2,2.0,Steelers,Mike Clark 20 yard field goal,9,3
3,4.0,Steelers,John Hilton 3 yard pass from Kent Nix (Mike Clark kick),9,10
4,4.0,Redskins,Charley Taylor 33 yard pass from Sonny Jurgensen,15,10
