,Quarter,Tm,Detail,RII,GNB
0,3.0,Packers,Marty Norton 10 yard pass from Curly Lambeau (Cub Buck kick),0,7
1,4.0,Packers,Myrt Basing 1 yard rush,0,13
2,4.0,Packers,Myrt Basing 1 yard rush (Cub Buck kick),0,20
