,Quarter,Tm,Detail,BUF,KAN
0,1.0,Chiefs,Nick Lowery 41 yard field goal,0,3
1,2.0,Chiefs,Pete Holohan 1 yard pass from Steve DeBerg (Nick Lowery kick),0,10
2,2.0,Bills,Scott Norwood 44 yard field goal,3,10
3,2.0,Bills,Scott Norwood 25 yard field goal,6,10
4,2.0,Chiefs,Nick Lowery 40 yard field goal,6,13
5,3.0,Chiefs,Nick Lowery 24 yard field goal,6,16
6,3.0,Chiefs,Christian Okoye 5 yard rush (Nick Lowery kick),6,23
7,3.0,Chiefs,Christian Okoye 2 yard rush (Nick Lowery kick),6,30
8,4.0,Chiefs,Nick Lowery 22 yard field goal,6,33
