,Quarter,Tm,Detail,NYG,BOS
0,1.0,Yanks,Hal Crisler 17 yard pass from Paul Governali (Nick Scollard kick),0,7
1,1.0,Giants,George Franck 68 yard pass from Jerry Niles (Ken Strong kick),7,7
