,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,8:55,Patriots,Adam Vinatieri 33 yard field goal,3,0
1,1.0,2:10,Jets,Richie Anderson 27 yard pass from Vinny Testaverde (John Hall kick),3,7
2,2.0,9:11,Patriots,Tony Simmons 58 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,7
3,2.0,6:49,Jets,Keyshawn Johnson 25 yard pass from Tom Tupa (John Hall kick),10,14
4,2.0,0:06,Jets,"Safety, punt snap went out of end zone",10,16
5,3.0,13:27,Patriots,Willie McGinest defensive fumble recovery in end zone (Adam Vinatieri kick),17,16
6,3.0,11:29,Patriots,Terry Allen 22 yard rush (Adam Vinatieri kick),24,16
7,3.0,5:55,Patriots,Adam Vinatieri 21 yard field goal,27,16
8,3.0,3:39,Jets,Fred Baxter 7 yard pass from Tom Tupa (pass failed),27,22
9,4.0,9:34,Jets,Bryan Cox 27 yard interception return (pass failed),27,28
10,4.0,0:03,Patriots,Adam Vinatieri 23 yard field goal,30,28
