,Quarter,Time,Tm,Detail,SDG,BUF
0,1,0:13,Chargers,John Carney 36 yard field goal,3,0
1,2,14:05,Bills,Sammy Morris 32 yard rush (Steve Christie kick),3,7
2,2,10:53,Bills,Jerry Ostroski offensive fumble recovery in end zone (Steve Christie kick),3,14
3,2,9:15,Chargers,Curtis Conway 60 yard pass from Jim Harbaugh (John Carney kick),10,14
4,3,10:30,Chargers,Jermaine Fazande 2 yard rush (John Carney kick),17,14
5,3,8:09,Chargers,Jeff Graham 52 yard pass from Jim Harbaugh (John Carney kick),24,14
6,4,13:48,Bills,Shawn Bryson 11 yard pass from Rob Johnson (Steve Christie kick),24,21
7,4,0:07,Bills,Steve Christie 29 yard field goal,24,24
8,OT,6:34,Bills,Steve Christie 46 yard field goal,24,27
