,Quarter,Tm,Detail,PIT,RAI
0,1.0,Steelers,Gary Anderson 26 yard field goal,3,0
1,4.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),10,0
2,4.0,Steelers,Gary Anderson 37 yard field goal,13,0
3,4.0,Raiders,Dokie Williams 2 yard pass from Jim Plunkett (Chris Bahr kick),13,7
