,Quarter,Tm,Detail,MIN,RAM
0,1.0,Vikings,Rick Danmeier 42 yard field goal,3,0
1,2.0,Rams,Willie Miller 9 yard pass from Pat Haden (Frank Corral kick),3,7
2,2.0,Rams,Frank Corral 43 yard field goal,3,10
3,2.0,Vikings,Ahmad Rashad 1 yard pass from Fran Tarkenton (Rick Danmeier kick),10,10
4,3.0,Rams,Cullen Bryant 3 yard rush (Frank Corral kick),10,17
5,3.0,Rams,Ron Jessie 27 yard pass from Pat Haden (Frank Corral kick),10,24
6,4.0,Rams,Frank Corral 28 yard field goal,10,27
7,4.0,Rams,Jim Jodat 3 yard rush (Frank Corral kick),10,34
