,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,6:32,Dolphins,Brandon Gibson 4 yard pass from Ryan Tannehill (Caleb Sturgis kick),7,0
1,2.0,9:55,Dolphins,Daniel Thomas 5 yard pass from Ryan Tannehill (Caleb Sturgis kick),14,0
2,2.0,3:43,Patriots,Stephen Gostkowski 34 yard field goal,14,3
3,2.0,0:30,Dolphins,Caleb Sturgis 52 yard field goal,17,3
4,3.0,8:28,Patriots,Aaron Dobson 14 yard pass from Tom Brady (Stephen Gostkowski kick),17,10
5,3.0,6:42,Patriots,Brandon Bolden 2 yard rush (Stephen Gostkowski kick),17,17
6,3.0,0:08,Patriots,Stephen Gostkowski 48 yard field goal,17,20
7,4.0,7:14,Patriots,Stevan Ridley 3 yard rush (Stephen Gostkowski kick),17,27
