,Quarter,Tm,Detail,HOU,NYJ
0,1.0,Jets,Kevin Long 1 yard pass from Richard Todd (Pat Leahy kick),0,7
1,1.0,Oilers,Earl Campbell 3 yard rush (Toni Fritsch kick),7,7
2,2.0,Jets,Wesley Walker 28 yard pass from Richard Todd (Pat Leahy kick),7,14
3,2.0,Jets,Wesley Walker 40 yard pass from Richard Todd (Pat Leahy kick),7,21
4,2.0,Oilers,Toni Fritsch 38 yard field goal,10,21
5,3.0,Jets,"Safety, Buttle tackled Carter in end zone",10,23
6,3.0,Oilers,Ken Burrough 70 yard pass from Ken Stabler (Toni Fritsch kick),17,23
7,3.0,Jets,Pat Leahy 41 yard field goal,17,26
8,4.0,Jets,Kevin Long 2 yard rush (Pat Leahy kick),17,33
