,Quarter,Time,Tm,Detail,KAN,TEN
0,2,1:42,Titans,Kevin Dyson 30 yard pass from Frank Wycheck (Al Del Greco kick),0,7
1,2,0:12,Chiefs,Donnie Edwards 42 yard interception return (Pete Stoyanovich kick),7,7
2,4,14:55,Chiefs,Derrick Alexander 16 yard pass from Elvis Grbac (Pete Stoyanovich kick),14,7
3,4,0:50,Titans,Yancey Thigpen 8 yard pass from Neil O'Donnell (Al Del Greco kick),14,14
4,OT,12:02,Titans,Al Del Greco 36 yard field goal,14,17
