,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Johnny Lujack 1 yard rush (George Blanda kick),0,7
1,1.0,Bears,Johnny Lujack 1 yard rush (George Blanda kick),0,14
2,1.0,Rams,Elroy Hirsch 91 yard pass from Bob Waterfield (Bob Waterfield kick),7,14
3,1.0,Bears,George Blanda 27 yard field goal,7,17
4,2.0,Rams,Tom Fears 11 yard pass from Norm Van Brocklin (Bob Waterfield kick),14,17
5,2.0,Rams,Norm Van Brocklin 1 yard rush (Bob Waterfield kick),21,17
6,3.0,Rams,Dan Towler 3 yard rush (Bob Waterfield kick),28,17
7,4.0,Rams,Dan Towler 16 yard rush (Bob Waterfield kick),35,17
8,4.0,Rams,Tank Younger 20 yard rush (Bob Waterfield kick),42,17
