,Quarter,Time,Tm,Detail,PHI,ARI
0,2.0,,Eagles,William Thomas 37 yard interception return (Gary Anderson kick),7,0
1,2.0,,Cardinals,Greg Davis 21 yard field goal,7,3
2,2.0,,Eagles,Gary Anderson 43 yard field goal,10,3
3,3.0,,Eagles,Charlie Garner 1 yard rush (Gary Anderson kick),17,3
4,3.0,,Cardinals,Greg Davis 29 yard field goal,17,6
5,4.0,,Eagles,Fred Barnett 19 yard pass from Rodney Peete (Gary Anderson kick),24,6
6,4.0,,Cardinals,Garrison Hearst 1 yard rush (Greg Davis kick),24,13
7,4.0,,Eagles,Fred McCrary 1 yard rush (Gary Anderson kick),31,13
8,4.0,,Cardinals,Rob Moore 5 yard pass from Mike Buck (run failed),31,19
