,Quarter,Time,Tm,Detail,NOR,CHI
0,2.0,4:32,Saints,Billy Joe Hobert 2 yard rush (Doug Brien kick),7,0
1,3.0,3:23,Saints,Doug Brien 30 yard field goal,10,0
2,4.0,1:48,Bears,Curtis Conway 22 yard pass from Shane Matthews (Jeff Jaeger kick),10,7
3,4.0,0:07,Bears,Curtis Conway 6 yard pass from Shane Matthews (Jeff Jaeger kick),10,14
