,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,10:50,Chiefs,John Carney 38 yard field goal,0,3
1,1.0,5:24,Chargers,Nate Kaeding 25 yard field goal,3,3
2,2.0,5:23,Chiefs,Jared Allen 2 yard pass from Damon Huard (John Carney kick),3,10
3,2.0,3:29,Chargers,Vincent Jackson 38 yard pass from Philip Rivers (Nate Kaeding kick),10,10
4,3.0,12:16,Chargers,LaDainian Tomlinson 31 yard rush (Nate Kaeding kick),17,10
5,4.0,10:15,Chargers,LaDainian Tomlinson 28 yard rush (Nate Kaeding kick),24,10
