,Quarter,Tm,Detail,PIT,PHI
0,1,Eagles,Bosh Pritchard 58 yard rush (Augie Lio kick),0,7
1,2,Eagles,Augie Lio 15 yard field goal,0,10
2,3,Steelers,Steve Lach 7 yard rush (Bill Dudley kick),7,10
