,Quarter,Time,Tm,Detail,HOU,TEN
0,1.0,9:57,Titans,DaQuan Jones defensive fumble recovery in end zone (Ryan Succop kick),0,7
1,2.0,0:23,Titans,Rishard Matthews 2 yard pass from Matt Cassel (Ryan Succop kick),0,14
2,3.0,10:31,Texans,C.J. Fiedorowicz 4 yard pass from Brock Osweiler (Nick Novak kick),7,14
3,3.0,4:44,Titans,Derrick Henry 2 yard rush (Ryan Succop kick),7,21
4,3.0,1:11,Texans,Nick Novak 26 yard field goal,10,21
5,4.0,8:30,Titans,Ryan Succop 35 yard field goal,10,24
6,4.0,3:11,Texans,Brock Osweiler 1 yard rush (Nick Novak kick),17,24
