,Quarter,Tm,Detail,PIT,WAS
0,2.0,Redskins,Don Bosseler 7 yard rush (Sam Baker kick),0,7
1,2.0,Redskins,Don Bosseler 2 yard rush (Sam Baker kick),0,14
2,3.0,Steelers,Jimmy Orr 55 yard pass from Bobby Layne (Tom Miner kick),7,14
3,4.0,Steelers,Jack McClairen 28 yard pass from Bobby Layne (Tom Miner kick),14,14
