,Quarter,Tm,Detail,DAL,CLE
0,1,Browns,"Safety, Hayes tackled in end zone by Reynolds",0,2
1,3,Cowboys,Mike Clark 39 yard field goal,3,2
2,4,Cowboys,Mike Clark 31 yard field goal,6,2
