,Quarter,Time,Tm,Detail,ATL,WAS
0,2.0,10:11,Redskins,Ryan Kerrigan 28 yard interception return (Billy Cundiff kick),0,7
1,2.0,0:30,Falcons,Tony Gonzalez 1 yard pass from Matt Ryan (Matt Bryant kick),7,7
2,3.0,5:56,Redskins,Billy Cundiff 23 yard field goal,7,10
3,4.0,13:23,Falcons,Julio Jones 18 yard pass from Matt Ryan (Matt Bryant kick),14,10
4,4.0,12:24,Redskins,Santana Moss 77 yard pass from Kirk Cousins (Billy Cundiff kick),14,17
5,4.0,7:42,Falcons,Matt Bryant 53 yard field goal,17,17
6,4.0,2:46,Falcons,Michael Turner 13 yard rush (Matt Bryant kick),24,17
