,Quarter,Tm,Detail,CHI,CLE
0,1.0,Browns,Eric Metcalf 3 yard pass from Bernie Kosar (Matt Bahr kick),0,7
1,3.0,Browns,Matt Bahr 31 yard field goal,0,10
2,3.0,Browns,Eric Metcalf 7 yard rush (Matt Bahr kick),0,17
3,4.0,Browns,Webster Slaughter 97 yard pass from Bernie Kosar (Matt Bahr kick),0,24
4,4.0,Bears,Wendell Davis 5 yard pass from Jim Harbaugh (Kevin Butler kick),7,24
5,4.0,Browns,Matt Bahr 35 yard field goal,7,27
