,Quarter,Tm,Detail,CIN,SDG
0,1.0,Chargers,Charlie Joiner 30 yard pass from James Harris (Rolf Benirschke kick),0,7
1,2.0,Bengals,Chris Bahr 35 yard field goal,3,7
2,2.0,Chargers,Charlie Joiner 15 yard pass from James Harris (Rolf Benirschke kick),3,14
3,3.0,Chargers,James Harris 1 yard rush (Rolf Benirschke kick),3,21
4,4.0,Chargers,Rolf Benirschke 42 yard field goal,3,24
