,Quarter,Tm,Detail,SDG,HOU
0,1.0,Oilers,Robert Lyles 55 yard defensive fumble return (Tony Zendejas kick),0,7
1,1.0,Oilers,Tony Zendejas 48 yard field goal,0,10
2,2.0,Oilers,Allen Pinkett 4 yard rush (Tony Zendejas kick),0,17
3,2.0,Oilers,Tony Zendejas 47 yard field goal,0,20
4,2.0,Chargers,"Safety, L. Williams tackled Moon in end zone",2,20
5,2.0,Chargers,Vince Abbott 27 yard field goal,5,20
6,3.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),5,27
7,3.0,Chargers,Kellen Winslow 6 yard pass from Dan Fouts,11,27
8,4.0,Oilers,Warren Moon 3 yard rush,11,33
9,4.0,Chargers,Gary Anderson 9 yard pass from Mark Herrmann (Vince Abbott kick),18,33
