,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Roy Gerela 22 yard field goal,0,3
1,1.0,Steelers,Lynn Swann 8 yard pass from Terry Bradshaw (Roy Gerela kick),0,10
2,2.0,Oilers,Ronnie Coleman 3 yard rush (Skip Butler kick),7,10
3,2.0,Steelers,Larry Brown 6 yard pass from Terry Bradshaw (Roy Gerela kick),7,17
4,3.0,Oilers,Skip Butler 48 yard field goal,10,17
5,4.0,Oilers,Fred Willis 1 yard rush (Skip Butler kick),17,17
6,4.0,Steelers,John Stallworth 21 yard pass from Terry Bradshaw (Roy Gerela kick),17,24
