,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Walter Payton 20 yard rush (Bob Thomas kick),7,0
1,1.0,49ers,Steve Mike-Mayer 21 yard field goal,7,3
2,2.0,49ers,"Safety, Hart tackled Payton in end zone",7,5
3,2.0,Bears,Walter Payton 7 yard rush (Bob Thomas kick),14,5
4,2.0,Bears,"Safety, Adamle blocked punt through end zone",16,5
5,2.0,Bears,Bob Thomas 35 yard field goal,19,5
6,4.0,49ers,Delvin Williams 13 yard pass from Jim Plunkett (Steve Mike-Mayer kick),19,12
