,Quarter,Time,Tm,Detail,CIN,SDG
0,2.0,10:43,Chargers,Curtis Conway 19 yard pass from Doug Flutie (Wade Richey kick),0,7
1,2.0,0:24,Bengals,Chad Johnson 8 yard pass from Jon Kitna (Neil Rackers kick),7,7
2,3.0,8:01,Chargers,LaDainian Tomlinson 4 yard rush (Wade Richey kick),7,14
3,3.0,4:44,Chargers,LaDainian Tomlinson 2 yard rush (Wade Richey kick),7,21
4,4.0,14:15,Chargers,LaDainian Tomlinson 3 yard rush (Wade Richey kick),7,28
5,4.0,1:48,Bengals,Peter Warrick 7 yard pass from Jon Kitna (Neil Rackers kick),14,28
