,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),7,0
1,1.0,Redskins,Jim Podoley 64 yard pass from Ralph Guglielmi (Sam Baker kick),7,7
2,2.0,Redskins,Sam Baker 35 yard field goal,7,10
3,2.0,Browns,Lou Groza 10 yard field goal,10,10
4,4.0,Browns,Lou Groza 26 yard field goal,13,10
5,4.0,Browns,Jim Brown 5 yard rush (Lou Groza kick),20,10
