,Quarter,Tm,Detail,RAM,BUF
0,3,Bills,Steve Freeman 47 yard interception return (Nick Mike-Mayer kick),0,7
1,3,Rams,Mike Guman 3 yard rush (Nolan Cromwell run),7,7
2,OT,Bills,Nick Mike-Mayer 30 yard field goal,7,10
