,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Bobby Walston 17 yard pass from Sonny Jurgensen (Bobby Walston kick),7,0
1,1.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),14,0
2,1.0,Steelers,Preston Carpenter 7 yard pass from Bobby Layne (Lou Michaels kick),14,7
3,2.0,Steelers,Lou Michaels 37 yard field goal,14,10
4,2.0,Eagles,Dick Lucas 7 yard pass from Sonny Jurgensen (Bobby Walston kick),21,10
5,3.0,Eagles,Timmy Brown 66 yard punt return (Bobby Walston kick),28,10
6,3.0,Steelers,John Henry Johnson 7 yard pass from Bobby Layne (Lou Michaels kick),28,17
7,4.0,Steelers,Bob Schnelker 8 yard pass from Bobby Layne (Lou Michaels kick),28,24
8,4.0,Eagles,Timmy Brown 42 yard rush (Bobby Walston kick),35,24
