,Quarter,Time,Tm,Detail,DET,OAK
0,1.0,,Raiders,James Jett 4 yard pass from Jeff Hostetler (Cole Ford kick),0,7
1,2.0,,Raiders,Cole Ford 29 yard field goal,0,10
2,2.0,,Raiders,Cole Ford 23 yard field goal,0,13
3,2.0,,Raiders,Napoleon Kaufman 10 yard pass from Jeff Hostetler (Cole Ford kick),0,20
4,3.0,,Raiders,James Jett 58 yard pass from Jeff Hostetler (Cole Ford kick),0,27
5,3.0,,Raiders,Rickey Dudley 62 yard pass from Jeff Hostetler (Cole Ford kick),0,34
6,3.0,,Lions,Herman Moore 11 yard pass from Scott Mitchell (Jason Hanson kick),7,34
7,3.0,,Lions,Herman Moore 6 yard pass from Scott Mitchell (Jason Hanson kick),14,34
8,3.0,,Lions,Johnnie Morton 19 yard pass from Scott Mitchell (Jason Hanson kick),21,34
9,4.0,,Raiders,Cole Ford 33 yard field goal,21,37
