,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Lou Groza 20 yard field goal,0,3
1,1.0,Browns,Lou Groza 16 yard field goal,0,6
2,1.0,Eagles,Frank Ziegler 1 yard rush,6,6
3,2.0,Browns,Chick Jagade 14 yard rush (Lou Groza kick),6,13
4,2.0,Browns,Dante Lavelli 25 yard pass from Otto Graham (Lou Groza kick),6,20
5,3.0,Eagles,Adrian Burk 32 yard rush (Bobby Walston kick),13,20
6,3.0,Browns,Chick Jagade 13 yard rush (Lou Groza kick),13,27
7,4.0,Browns,Lou Groza 27 yard field goal,13,30
8,4.0,Browns,Jerry Helluin 42 yard fumble return (Lou Groza kick),13,37
