,Quarter,Tm,Detail,PIT,GNB
0,1.0,Packers,Lou Brock 20 yard pass from Cecil Isbell (Don Hutson kick),0,7
1,2.0,Packers,Don Hutson 20 yard field goal,0,10
2,3.0,Steelers,Vern Martin 53 yard touchdown on a lateral (Armand Niccolai kick),7,10
3,4.0,Packers,Harry Jacunski 49 yard pass from Cecil Isbell (Don Hutson kick),7,17
4,4.0,Packers,Ray Riddick 24 yard pass from Cecil Isbell (Don Hutson kick),7,24
5,4.0,Steelers,Bill Dudley 3 yard rush (Milt Simington kick),14,24
6,4.0,Steelers,Vern Martin 24 yard pass from Bill Dudley (Jack Sanders kick),21,24
