,Quarter,Tm,Detail,DEN,RAI
0,1,Broncos,Jason Elam 52 yard field goal,3,0
1,1,Broncos,Cedric Tillman 27 yard pass from John Elway (Jason Elam kick),10,0
2,2,Broncos,Jason Elam 25 yard field goal,13,0
3,2,Raiders,Tim Brown 4 yard pass from Jeff Hostetler (Jeff Jaeger kick),13,7
4,2,Broncos,Shannon Sharpe 54 yard pass from John Elway (Jason Elam kick),20,7
5,2,Raiders,Jeff Jaeger 43 yard field goal,20,10
6,2,Broncos,Shannon Sharpe 1 yard pass from John Elway (Jason Elam kick),27,10
7,2,Raiders,Jeff Jaeger 50 yard field goal,27,13
8,3,Broncos,Jason Elam 27 yard field goal,30,13
9,3,Raiders,Tim Brown 24 yard pass from Jeff Hostetler (Jeff Jaeger kick),30,20
10,4,Raiders,Jeff Jaeger 39 yard field goal,30,23
11,4,Raiders,Alexander Wright 4 yard pass from Jeff Hostetler (Jeff Jaeger kick),30,30
12,OT,Raiders,Jeff Jaeger 47 yard field goal,30,33
