,Quarter,Tm,Detail,NOR,PIT
0,1.0,Steelers,Roy Gerela 27 yard field goal,0,3
1,2.0,Saints,Rich Mauti 5 yard pass from Archie Manning (Steve Mike-Mayer kick),7,3
2,3.0,Steelers,Lynn Swann 6 yard pass from Terry Bradshaw (Roy Gerela kick),7,10
3,3.0,Steelers,Roy Gerela 21 yard field goal,7,13
4,4.0,Saints,Tony Galbreath 5 yard rush (Steve Mike-Mayer kick),14,13
5,4.0,Steelers,Rocky Bleier 24 yard pass from Terry Bradshaw (Roy Gerela kick),14,20
