,Quarter,Tm,Detail,HOU,PIT
0,2.0,Oilers,Mike Barber 5 yard pass from Dan Pastorini (Toni Fritsch kick),7,0
1,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),7,7
2,3.0,Steelers,John Stallworth 49 yard pass from Terry Bradshaw,7,13
3,4.0,Oilers,Toni Fritsch 46 yard field goal,10,13
4,4.0,Steelers,Bennie Cunningham 2 yard pass from Terry Bradshaw (Roy Gerela kick),10,20
5,4.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),10,27
