,Quarter,Time,Tm,Detail,MIN,HOU
0,1.0,10:50,Texans,Shayne Graham 51 yard field goal,0,3
1,1.0,6:19,Vikings,Kyle Rudolph 3 yard pass from Christian Ponder (Blair Walsh kick),7,3
2,2.0,8:15,Vikings,Blair Walsh 56 yard field goal,10,3
3,2.0,0:37,Vikings,Blair Walsh 41 yard field goal,13,3
4,3.0,11:31,Vikings,Blair Walsh 39 yard field goal,16,3
5,3.0,0:26,Texans,Shayne Graham 33 yard field goal,16,6
6,4.0,4:44,Vikings,Toby Gerhart 3 yard rush (Blair Walsh kick),23,6
