,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Ottis Anderson 12 yard rush (Neil O'Donoghue kick),0,7
1,2.0,Cardinals,Roy Green 10 yard pass from Neil Lomax (Neil O'Donoghue kick),0,14
2,3.0,Cardinals,Neil O'Donoghue 28 yard field goal,0,17
3,3.0,Cardinals,Randy Love 1 yard rush (Neil O'Donoghue kick),0,24
4,4.0,Cardinals,Doug Marsh 29 yard pass from Neil Lomax (Neil O'Donoghue kick),0,31
5,4.0,Eagles,Mike Quick 20 yard pass from Ron Jaworski (Tony Franklin kick),7,31
