,Quarter,Time,Tm,Detail,CLE,PIT
0,1.0,7:34,Browns,Austin Seibert 31 yard field goal,3,0
1,2.0,7:46,Browns,Kareem Hunt 15 yard pass from Baker Mayfield (Austin Seibert kick),10,0
2,2.0,3:00,Steelers,Chris Boswell 39 yard field goal,10,3
3,2.0,1:06,Steelers,James Washington 30 yard pass from Devlin Hodges (Chris Boswell kick),10,10
4,3.0,10:42,Steelers,Benny Snell Jr. 1 yard rush (Chris Boswell kick),10,17
5,4.0,13:51,Steelers,Chris Boswell 29 yard field goal,10,20
6,4.0,7:34,Browns,Austin Seibert 34 yard field goal,13,20
