,Quarter,Tm,Detail,MIA,DEN
0,1.0,Dolphins,Garo Yepremian 22 yard field goal,3,0
1,1.0,Broncos,Jim Turner 10 yard field goal,3,3
2,3.0,Broncos,Dwight Harrison 31 yard pass from Don Horn (Jim Turner kick),3,10
3,4.0,Dolphins,Paul Warfield 31 yard pass from Bob Griese (Garo Yepremian kick),10,10
