,Quarter,Time,Tm,Detail,NWE,PHI
0,1.0,1:10,Patriots,Adam Vinatieri 27 yard field goal,3,0
1,2.0,14:00,Eagles,Duce Staley 2 yard rush (David Akers kick),3,7
2,2.0,7:59,Patriots,Christian Fauria 8 yard pass from Tom Brady (Adam Vinatieri kick),10,7
3,2.0,2:09,Patriots,Christian Fauria 5 yard pass from Tom Brady (Adam Vinatieri kick),17,7
4,3.0,7:02,Patriots,Deion Branch 26 yard pass from Tom Brady (Adam Vinatieri kick),24,7
5,4.0,10:48,Eagles,David Akers 57 yard field goal,24,10
6,4.0,5:02,Patriots,Tedy Bruschi 18 yard interception return (Adam Vinatieri kick),31,10
