,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Jimmy German 15 yard rush,0,6
1,1.0,Pirates,Sam Francis unknown yard rush (Armand Niccolai kick),7,6
2,1.0,Redskins,Jimmy German 14 yard rush (Bo Russell kick),7,13
3,2.0,Pirates,Coley McDonough 3 yard pass from Lou Tomasetti (Armand Niccolai kick),14,13
4,2.0,Redskins,Andy Farkas 11 yard rush,14,19
5,3.0,Redskins,Andy Farkas 99 yard pass from Frank Filchock,14,25
6,3.0,Redskins,Dick Todd 19 yard pass from Frank Filchock (Dick Todd kick),14,32
7,3.0,Redskins,Dick Todd 60 yard rush,14,38
8,4.0,Redskins,Ed Justice 33 yard rush,14,44
