,Quarter,Tm,Detail,RAM,NYG
0,1.0,Giants,George Franck 11 yard rush (Ward Cuff kick),0,7
1,1.0,Rams,Red Hickey 26 yard pass from Parker Hall (Chet Adams kick),7,7
2,1.0,Giants,Tuffy Leemans 17 yard rush (Ward Cuff kick),7,14
3,2.0,Giants,Howie Yeager 6 yard pass from Ed Danowski (Ward Cuff kick),7,21
4,2.0,Rams,Maury Patt 2 yard pass from Parker Hall (Chet Adams kick),14,21
5,2.0,Giants,Howie Yeager 65 yard pass from Ed Danowski (Ward Cuff kick),14,28
6,2.0,Giants,Doug Oldershaw 26 yard interception return (Ward Cuff kick),14,35
7,3.0,Giants,George Franck 44 yard pass from Tuffy Leemans (Andy Marefos kick),14,42
8,4.0,Giants,Clint McClain 11 yard rush (Hank Soar kick),14,49
