,Quarter,Tm,Detail,CHI,MIL
0,1,Bears,Paddy Driscoll unknown yard field goal,3,0
1,2,Bears,Oscar Knop 1 yard rush (Paddy Driscoll kick),10,0
2,4,Badgers,Johnny Heimsch 1 yard rush (Don Curtin kick),10,7
