,Quarter,Tm,Detail,BUF,HOU
0,1.0,Oilers,Roy Hopkins 3 yard pass from Pete Beathard (Roy Gerela kick),0,7
1,2.0,Oilers,Pete Beathard 3 yard rush (Roy Gerela kick),0,14
2,3.0,Oilers,Ken Houston 51 yard interception return (Roy Gerela kick),0,21
3,3.0,Bills,Max Anderson 6 yard rush (Bruce Alford kick),7,21
4,4.0,Oilers,Hoyle Granger 1 yard rush (Roy Gerela kick),7,28
5,4.0,Bills,Marlin Briscoe 26 yard pass from Jack Kemp (Bruce Alford kick),14,28
