,Quarter,Tm,Detail,SDG,CIN
0,1.0,Bengals,Jim Breech 31 yard field goal,0,3
1,1.0,Bengals,M.L. Harris 8 yard pass from Ken Anderson (Jim Breech kick),0,10
2,2.0,Chargers,Kellen Winslow 33 yard pass from Dan Fouts (Rolf Benirschke kick),7,10
3,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),7,17
4,3.0,Bengals,Jim Breech 38 yard field goal,7,20
5,4.0,Bengals,Don Bass 3 yard pass from Ken Anderson (Jim Breech kick),7,27
