,Quarter,Time,Tm,Detail,SEA,NYJ
0,1.0,6:27,Jets,Nick Folk 34 yard field goal,0,3
1,2.0,11:34,Seahawks,C.J. Spiller 8 yard pass from Russell Wilson (Stephen Hauschka kick),7,3
2,2.0,3:44,Seahawks,Tanner McEvoy 42 yard pass from Russell Wilson (Stephen Hauschka kick),14,3
3,2.0,0:13,Jets,Brandon Marshall 17 yard pass from Ryan Fitzpatrick (Nick Folk kick),14,10
4,3.0,4:13,Seahawks,Stephen Hauschka 33 yard field goal,17,10
5,4.0,12:20,Seahawks,Christine Michael 6 yard pass from Russell Wilson (Stephen Hauschka kick),24,10
6,4.0,4:04,Seahawks,Stephen Hauschka 53 yard field goal,27,10
7,4.0,2:15,Jets,Charone Peake 42 yard offensive fumble return (Nick Folk kick),27,17
