,Quarter,Time,Tm,Detail,TEN,NOR
0,1.0,0:00,Saints,Doug Brien 24 yard field goal,0,3
1,2.0,4:27,Saints,Scott Slutzker 10 yard pass from Billy Joe Tolliver (Doug Brien kick),0,10
2,3.0,7:58,Titans,Lorenzo Neal 4 yard pass from Neil O'Donnell (Al Del Greco kick),7,10
3,3.0,1:56,Saints,Doug Brien 42 yard field goal,7,13
4,4.0,10:08,Titans,Kevin Dyson 11 yard pass from Neil O'Donnell (Al Del Greco kick),14,13
5,4.0,2:58,Titans,Al Del Greco 19 yard field goal,17,13
6,4.0,2:40,Titans,Donald Mitchell 42 yard interception return (Al Del Greco kick),24,13
7,4.0,0:45,Saints,Lamar Smith 4 yard pass from Billy Joe Tolliver (Brett Bech pass from Billy Joe Tolliver),24,21
