,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,9:05,Chiefs,Derrick Blaylock 25 yard rush (Morten Andersen kick),0,7
1,1.0,0:28,Chiefs,Priest Holmes 2 yard rush (Morten Andersen kick),0,14
2,2.0,1:50,Raiders,Rick Mirer 13 yard rush (Sebastian Janikowski kick),7,14
3,2.0,0:22,Chiefs,Jason Dunn 2 yard pass from Trent Green (Morten Andersen kick),7,21
4,3.0,10:19,Raiders,Tyrone Wheatley 15 yard rush (Sebastian Janikowski kick),14,21
5,3.0,7:12,Chiefs,Morten Andersen 43 yard field goal,14,24
6,4.0,14:26,Raiders,Jerry Rice 47 yard pass from Rick Mirer (Sebastian Janikowski kick),21,24
7,4.0,2:18,Raiders,Sebastian Janikowski 41 yard field goal,24,24
8,4.0,0:04,Chiefs,Morten Andersen 35 yard field goal,24,27
