,Quarter,Time,Tm,Detail,SFO,WAS
0,1.0,10:45,Redskins,Mike Sellers 2 yard pass from Mark Brunell (Nick Novak kick),0,7
1,1.0,4:48,Redskins,Clinton Portis 5 yard rush (Nick Novak kick),0,14
2,1.0,1:09,49ers,Kevan Barlow 17 yard rush (Joe Nedney kick),7,14
3,2.0,5:39,Redskins,Clinton Portis 1 yard rush (Nick Novak kick),7,21
4,2.0,1:53,Redskins,Santana Moss 32 yard pass from Mark Brunell (Nick Novak kick),7,28
5,2.0,0:57,Redskins,Mike Sellers 19 yard pass from Mark Brunell (Nick Novak kick),7,35
6,3.0,11:04,Redskins,Clinton Portis 1 yard rush (Nick Novak kick),7,42
7,3.0,3:27,Redskins,Nick Novak 27 yard field goal,7,45
8,4.0,9:26,Redskins,Rock Cartwright 4 yard rush (Nick Novak kick),7,52
9,4.0,4:35,49ers,Joe Nedney 47 yard field goal,10,52
10,4.0,2:00,49ers,Frank Gore 72 yard rush (Joe Nedney kick),17,52
