,Quarter,Time,Tm,Detail,IND,HOU
0,2.0,13:46,Texans,Ka'imi Fairbairn 35 yard field goal,0,3
1,2.0,4:33,Colts,Jacoby Brissett 5 yard rush (Adam Vinatieri kick),7,3
2,2.0,2:00,Texans,DeAndre Hopkins 35 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,10
3,2.0,0:02,Colts,Adam Vinatieri 36 yard field goal,10,10
4,3.0,5:44,Colts,Jonathan Williams 13 yard rush (Adam Vinatieri kick),17,10
5,3.0,2:47,Texans,Ka'imi Fairbairn 36 yard field goal,17,13
6,4.0,12:41,Texans,DeAndre Hopkins 30 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),17,20
