,Quarter,Tm,Detail,CIN,CLE
0,1.0,Browns,Kevin Mack 7 yard rush (Matt Stover kick),0,7
1,1.0,Browns,Matt Stover 34 yard field goal,0,10
2,2.0,Bengals,Rodney Holman 26 yard pass from David Klingler (Jim Breech kick),7,10
3,2.0,Browns,Matt Stover 30 yard field goal,7,13
4,3.0,Browns,Eric Metcalf 35 yard pass from Bernie Kosar (Matt Stover kick),7,20
5,3.0,Browns,Michael Jackson 45 yard pass from Bernie Kosar (Matt Stover kick),7,27
6,3.0,Browns,Mike Johnson defensive fumble recovery in end zone (Matt Stover kick),7,34
7,3.0,Bengals,Jeff Query 10 yard pass from David Klingler (Jim Breech kick),14,34
8,4.0,Browns,Matt Stover 27 yard field goal,14,37
9,4.0,Bengals,Jeff Query 24 yard pass from Donald Hollas (Jim Breech kick),21,37
