,Quarter,Tm,Detail,HOU,IND
0,1,Colts,Matt Bouza 23 yard pass from Gary Hogeboom (Dean Biasucci kick),0,7
1,1,Oilers,Steve Brown 44 yard interception return (Tony Zendejas kick),7,7
2,2,Colts,Albert Bentley 1 yard rush (Dean Biasucci kick),7,14
3,2,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),14,14
4,OT,Oilers,Tony Zendejas 35 yard field goal,17,14
