,Quarter,Tm,Detail,SFO,MIA
0,1.0,Dolphins,Uwe von Schamann 21 yard field goal,0,3
1,1.0,49ers,Earl Cooper 1 yard rush (Ray Wersching kick),7,3
2,2.0,Dolphins,Nat Moore 15 yard pass from David Woodley (Uwe von Schamann kick),7,10
3,3.0,49ers,Freddie Solomon 1 yard pass from Steve DeBerg,13,10
4,3.0,Dolphins,Tony Nathan 8 yard pass from David Woodley (Uwe von Schamann kick),13,17
