,Quarter,Tm,Detail,MIL,GNB
0,1,Packers,Cub Buck 35 yard field goal,0,3
1,3,Packers,Cowboy Wheeler 40 yard pass from Curly Lambeau (Cub Buck kick),0,10
2,4,Packers,"Safety,",0,12
