,Quarter,Tm,Detail,MIA,SDG
0,1,Chargers,Eric Sievers 3 yard pass from Dan Fouts (Rolf Benirschke kick),0,7
1,2,Dolphins,Mark Clayton 12 yard pass from Dan Marino (Uwe von Schamann kick),7,7
2,2,Dolphins,Pete Johnson 1 yard rush (Uwe von Schamann kick),14,7
3,2,Chargers,Charlie Joiner 4 yard pass from Dan Fouts (Rolf Benirschke kick),14,14
4,2,Dolphins,Woody Bennett 4 yard pass from Dan Marino (Uwe von Schamann kick),21,14
5,3,Dolphins,Pete Johnson 3 yard rush (Uwe von Schamann kick),28,14
6,4,Chargers,Charlie Joiner 19 yard pass from Dan Fouts (Rolf Benirschke kick),28,21
7,4,Chargers,Eric Sievers 3 yard pass from Dan Fouts (Rolf Benirschke kick),28,28
8,OT,Chargers,Buford McGee 25 yard rush,28,34
