,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Lou Groza 42 yard field goal,3,0
1,1.0,Browns,Gary Collins 34 yard pass from Frank Ryan (Lou Groza kick),10,0
2,2.0,Browns,Lou Groza 42 yard field goal,13,0
3,2.0,Redskins,Bobby Mitchell 92 yard kickoff return (Bob Khayat kick),13,7
4,2.0,Browns,Ernie Green 33 yard pass from Frank Ryan (Lou Groza kick),20,7
5,3.0,Redskins,Billy Ray Barnes 1 yard rush (Bob Khayat kick),20,14
6,4.0,Browns,Gary Collins 9 yard pass from Frank Ryan (Lou Groza kick),27,14
7,4.0,Redskins,Billy Ray Barnes 23 yard pass from Norm Snead,27,20
