,Quarter,Time,Tm,Detail,MIA,JAX
0,1.0,10:32,Jaguars,Jimmy Smith 8 yard pass from Mark Brunell (Mike Hollis kick),0,7
1,1.0,6:19,Jaguars,Mike Hollis 45 yard field goal,0,10
2,1.0,3:46,Jaguars,Fred Taylor 90 yard rush (Mike Hollis kick),0,17
3,1.0,3:21,Jaguars,Tony Brackens 16 yard defensive fumble return (Mike Hollis kick),0,24
4,2.0,14:48,Jaguars,Fred Taylor 39 yard pass from Mark Brunell (Mike Hollis kick),0,31
5,2.0,12:05,Jaguars,James Stewart 25 yard rush (Mike Hollis kick),0,38
6,2.0,1:51,Jaguars,Mike Hollis 28 yard field goal,0,41
7,2.0,0:01,Dolphins,Oronde Gadsden 20 yard pass from Dan Marino (Olindo Mare kick),7,41
8,3.0,12:03,Jaguars,Jimmy Smith 70 yard pass from Jay Fiedler (Mike Hollis kick),7,48
9,3.0,6:19,Jaguars,Alvis Whitted 38 yard pass from Jay Fiedler (Mike Hollis kick),7,55
10,4.0,10:37,Jaguars,Chris Howard 5 yard rush (Mike Hollis kick),7,62
