,Quarter,Time,Tm,Detail,PIT,TAM
0,1.0,,Steelers,Norm Johnson 27 yard field goal,3,0
1,1.0,,Buccaneers,Michael Husted 39 yard field goal,3,3
2,2.0,,Buccaneers,Michael Husted 37 yard field goal,3,6
3,3.0,,Buccaneers,Mike Alstott 3 yard rush (Michael Husted kick),3,13
4,4.0,,Buccaneers,Michael Husted 21 yard field goal,3,16
