,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,Steve Myhra 42 yard field goal,0,3
1,1.0,Lions,Jim Martin 30 yard field goal,3,3
2,2.0,Colts,"Safety, Ninowski tackled in end zone by Marchetti",3,5
3,3.0,Lions,Jim Martin 28 yard field goal,6,5
4,3.0,Lions,Terry Barr 28 yard pass from Earl Morrall (Jim Martin kick),13,5
5,3.0,Colts,Steve Myhra 12 yard field goal,13,8
6,4.0,Colts,Lenny Moore 8 yard pass from Johnny Unitas (Steve Myhra kick),13,15
7,4.0,Lions,Jim Martin 49 yard field goal,16,15
