,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,Derrick Ramsey 66 yard pass from Marc Wilson (Chris Bahr kick),0,7
1,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),7,7
2,2.0,Raiders,Derrick Jensen 2 yard rush (Chris Bahr kick),7,14
3,2.0,Chargers,James Brooks 12 yard pass from Dan Fouts (Rolf Benirschke kick),14,14
4,2.0,Raiders,Marc Wilson 12 yard rush (Chris Bahr kick),14,21
5,2.0,Chargers,Kellen Winslow 15 yard pass from Dan Fouts (Rolf Benirschke kick),21,21
6,2.0,Chargers,Kellen Winslow 29 yard pass from Dan Fouts (Rolf Benirschke kick),28,21
7,3.0,Chargers,Kellen Winslow 4 yard pass from Dan Fouts (Rolf Benirschke kick),35,21
8,3.0,Chargers,Kellen Winslow 5 yard pass from Dan Fouts,41,21
9,3.0,Chargers,Charlie Joiner 6 yard pass from Dan Fouts (Rolf Benirschke kick),48,21
10,4.0,Chargers,Kellen Winslow 3 yard pass from Chuck Muncie (Rolf Benirschke kick),55,21
