,Quarter,Tm,Detail,CHI,TAM
0,2.0,Buccaneers,Donald Igwebuike 19 yard field goal,0,3
1,2.0,Buccaneers,Kevin House 21 yard pass from Steve DeBerg,0,9
2,2.0,Buccaneers,Donald Igwebuike 36 yard field goal,0,12
3,2.0,Bears,Kevin Butler 30 yard field goal,3,12
4,3.0,Bears,Dennis McKinnon 21 yard pass from Jim McMahon (Kevin Butler kick),10,12
5,3.0,Bears,Kevin Butler 31 yard field goal,13,12
6,4.0,Bears,Walter Payton 4 yard rush (Kevin Butler kick),20,12
7,4.0,Buccaneers,Gerald Carter 25 yard pass from Steve DeBerg (Donald Igwebuike kick),20,19
8,4.0,Bears,Walter Payton 9 yard rush (Kevin Butler kick),27,19
