,Quarter,Tm,Detail,STL,MIN
0,1.0,Cardinals,Bill Triplett 8 yard rush (Jim Bakken kick),7,0
1,2.0,Cardinals,Bill Triplett 5 yard pass from Charley Johnson (Jim Bakken kick),14,0
2,2.0,Cardinals,Bob Paremore 1 yard offensive fumble return (Jim Bakken kick),21,0
3,2.0,Vikings,Tommy Mason 7 yard rush (Fred Cox kick),21,7
4,3.0,Cardinals,Sonny Randle 21 yard pass from Charley Johnson (Jim Bakken kick),28,7
5,4.0,Cardinals,Sonny Randle 68 yard pass from Charley Johnson (Jim Bakken kick),35,7
6,4.0,Cardinals,Bill Thornton 55 yard rush (Jim Bakken kick),42,7
7,4.0,Cardinals,John Symank 21 yard interception return (Jim Bakken kick),49,7
8,4.0,Vikings,Tommy Mason 1 yard rush (Fred Cox kick),49,14
9,4.0,Cardinals,Sonny Randle 15 yard pass from Buddy Humphrey (Jim Bakken kick),56,14
