,Quarter,Tm,Detail,TAM,PIT
0,1.0,Steelers,Rocky Bleier 7 yard rush (Roy Gerela kick),0,7
1,2.0,Steelers,Rocky Bleier 1 yard rush (Roy Gerela kick),0,14
2,2.0,Steelers,Mike Kruczek 1 yard rush (Roy Gerela kick),0,21
3,2.0,Steelers,Rocky Bleier 3 yard rush (Roy Gerela kick),0,28
4,3.0,Steelers,Lynn Swann 35 yard pass from Terry Bradshaw (Roy Gerela kick),0,35
5,3.0,Steelers,Lynn Swann 23 yard pass from Terry Bradshaw (Roy Gerela kick),0,42
